kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_c39233	Superoxide-generating NADPH oxidase heavy chain subunit C OS=Dictyostelium discoideum OX=44689 GN=noxC PE=2 SV=1 E(blastx)=3e-05
kb8_c20960	Citrate-proton symporter OS=Klebsiella pneumoniae OX=573 GN=citH PE=3 SV=1 E(blastx)=9e-26
kb8_c46307	Chaperone protein DnaJ OS=Bacillus subtilis (strain 168) OX=224308 GN=dnaJ PE=2 SV=3 E(blastx)=1e-06
kb8_s53288	Peptidyl-prolyl cis-trans isomerase cyp15 OS=Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) OX=246409 GN=cyp15 PE=3 SV=1 E(blastx)=2e-30
kb8_rep_c31744	Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Rattus norvegicus OX=10116 GN=Cps1 PE=1 SV=1 E(blastx)=1e-112
kb8_rep_c49605	Probable phosphoglycerate kinase OS=Caenorhabditis elegans OX=6239 GN=pgk-1 PE=3 SV=1 E(blastx)=3e-160
kb8_rep_c5928	Beta-arabinofuranosyltransferase RAY1 OS=Arabidopsis thaliana OX=3702 GN=RAY1 PE=2 SV=1 E(blastx)=5e-05
kb8_c10557	Probable E3 ubiquitin-protein ligase RHA1A OS=Arabidopsis thaliana OX=3702 GN=RHA1A PE=2 SV=1 E(blastx)=4e-06
kb8_c45572	Ubiquitin-protein ligase E3B OS=Homo sapiens OX=9606 GN=UBE3B PE=1 SV=3 E(blastx)=2e-13
kb8_rep_c24521	Protein ACTIVITY OF BC1 COMPLEX KINASE 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ABC1K3 PE=1 SV=1 E(blastx)=3e-42
kb8_c49487	Transmembrane protein DDB_G0273707/DDB_G0273361 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0273707 PE=4 SV=2 E(blastx)=2e-08
kb8_c11031	UTP:RNA uridylyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=URT1 PE=1 SV=2 E(blastx)=5e-21
kb8_rep_c6270	60S ribosomal protein L19-2 OS=Arabidopsis thaliana OX=3702 GN=RPL19B PE=2 SV=1 E(blastx)=5e-61
kb8_rep_c7943	Cathepsin E OS=Lithobates catesbeianus OX=8400 GN=CTSE PE=1 SV=1 E(blastx)=5e-85
kb8_c34994	General transcription and DNA repair factor IIH helicase subunit XPB OS=Dictyostelium discoideum OX=44689 GN=repB PE=2 SV=1 E(blastx)=8e-53
kb8_c19478	Myo-inositol 2-dehydrogenase OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) OX=243274 GN=iolG PE=1 SV=1 E(blastx)=2e-13
kb8_rep_c12345	Prostaglandin E synthase 2 OS=Danio rerio OX=7955 GN=ptges2 PE=2 SV=1 E(blastx)=1e-34
kb8_s51238	Putative serine/threonine-protein kinase-like protein CCR3 OS=Arabidopsis thaliana OX=3702 GN=CCR3 PE=2 SV=1 E(blastx)=3e-06
kb8_c34496	Probable N-acetylgalactosaminyltransferase 9 OS=Caenorhabditis elegans OX=6239 GN=gly-9 PE=2 SV=1 E(blastx)=1e-60
kb8_rep_c16976	Cathepsin B-like cysteine proteinase OS=Schistosoma mansoni OX=6183 PE=2 SV=1 E(blastx)=4e-13
kb8_rep_c9497	Probable serine/threonine-protein kinase DDB_G0267514 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0267514 PE=3 SV=1 E(blastx)=2e-33
kb8_s54246	Cell wall alpha-1,3-glucan synthase mok13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mok13 PE=3 SV=2 E(blastx)=8e-05
kb8_rep_c64211	ATP synthase subunit beta, mitochondrial OS=Zea mays OX=4577 GN=ATPB PE=2 SV=1 E(blastx)=3e-05
kb8_rep_c12057	Magnesium-dependent phosphatase 1 OS=Homo sapiens OX=9606 GN=MDP1 PE=1 SV=1 E(blastx)=7e-19
kb8_rep_c1361	Thaumatin-like protein 1b (Fragment) OS=Malus domestica OX=3750 PE=2 SV=1 E(blastx)=1e-09
kb8_rep_c16940	ABC transporter B family member 25 OS=Oryza sativa subsp. japonica OX=39947 GN=ABCB25 PE=2 SV=1 E(blastx)=2e-99
kb8_c11513	Gamma-tubulin complex component 2 OS=Homo sapiens OX=9606 GN=TUBGCP2 PE=1 SV=2 E(blastx)=5e-55
kb8_c24397	Choline transporter-like 2 OS=Drosophila melanogaster OX=7227 GN=Ctl2 PE=3 SV=1 E(blastx)=2e-14
kb8_c26039	Galactocerebrosidase OS=Mus musculus OX=10090 GN=Galc PE=1 SV=2 E(blastx)=1e-82
kb8_rep_c57183	Isocitrate dehydrogenase [NADP] OS=Azotobacter vinelandii OX=354 GN=icd PE=1 SV=5 E(blastx)=1e-46
kb8_c16227	AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1 E(blastx)=9e-104
kb8_c7770	50S ribosomal protein L29 OS=Chlamydia abortus (strain DSM 27085 / S26/3) OX=218497 GN=rpmC PE=3 SV=1 E(blastx)=5e-05
kb8_c38895	E3 ubiquitin-protein ligase TOM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM1 PE=1 SV=1 E(blastx)=3e-06
kb8_rep_c23248	Cold shock-like protein OS=Aquifex aeolicus (strain VF5) OX=224324 GN=csp PE=3 SV=1 E(blastx)=5e-08
kb8_rep_c4567	Protein MEI2-like 3 OS=Arabidopsis thaliana OX=3702 GN=ML3 PE=2 SV=2 E(blastx)=6e-19
kb8_s66937	DNA topoisomerase 2 OS=Plasmodium falciparum (isolate K1 / Thailand) OX=5839 GN=TOP2 PE=3 SV=1 E(blastx)=1e-56
kb8_c42111	Pyrophosphate-energized vacuolar membrane proton pump 1 OS=Arabidopsis thaliana OX=3702 GN=AVP1 PE=1 SV=1 E(blastx)=3e-13
kb8_rep_c280	L-ascorbate peroxidase T, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=APXT PE=2 SV=2 E(blastx)=9e-89
kb8_rep_c20804	Tartrate-resistant acid phosphatase type 5 OS=Sus scrofa OX=9823 GN=ACP5 PE=1 SV=4 E(blastx)=5e-09
kb8_c10151	Phospholipid-transporting ATPase ID OS=Homo sapiens OX=9606 GN=ATP8B2 PE=1 SV=2 E(blastx)=1e-56
kb8_rep_c53681	S-adenosylmethionine synthase 1 OS=Picea sitchensis OX=3332 GN=METK1 PE=2 SV=1 E(blastx)=4e-136
kb8_rep_c17275	Serine/threonine-protein phosphatase PP2A catalytic subunit OS=Nicotiana tabacum OX=4097 PE=2 SV=1 E(blastx)=2e-24
kb8_s51590	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Mus musculus OX=10090 GN=Alg11 PE=2 SV=1 E(blastx)=1e-39
kb8_c43365	ABC-type transporter cicA OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=cicA PE=1 SV=1 E(blastx)=1e-11
kb8_c10231	Alpha-latrotoxin-Lhe1a OS=Latrodectus hesperus OX=256737 PE=1 SV=2 E(blastx)=6e-05
kb8_rep_c58845	Tubulin beta chain OS=Paramecium tetraurelia OX=5888 GN=bPT2 PE=3 SV=1 E(blastx)=7e-84
kb8_rep_c17427	La protein homolog OS=Drosophila melanogaster OX=7227 GN=La PE=1 SV=2 E(blastx)=1e-08
kb8_rep_c51301	Peridinin-chlorophyll a-binding protein, chloroplastic OS=Symbiodinium sp. OX=2950 PE=1 SV=1 E(blastx)=1e-34
kb8_c46984	COBW domain-containing protein DDB_G0274527 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0274527 PE=3 SV=1 E(blastx)=2e-23
kb8_c19991	Ankyrin-2 OS=Mus musculus OX=10090 GN=Ank2 PE=1 SV=2 E(blastx)=6e-25
kb8_rep_c10922	Leucine-rich repeat-containing protein 74B OS=Mus musculus OX=10090 GN=Lrrc74b PE=2 SV=1 E(blastx)=1e-06
kb8_rep_c27083	Probable allantoin permease OS=Bacillus subtilis (strain 168) OX=224308 GN=pucI PE=2 SV=1 E(blastx)=1e-26
kb8_rep_c969	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Rattus norvegicus OX=10116 GN=Hsd17b10 PE=1 SV=3 E(blastx)=1e-62
kb8_rep_c18021	Myosin light chain kinase A OS=Dictyostelium discoideum OX=44689 GN=mlkA PE=1 SV=2 E(blastx)=3e-48
kb8_s67412	S-phase kinase-associated protein 1 homolog OS=Tetrahymena thermophila (strain SB210) OX=312017 GN=SKP1 PE=2 SV=1 E(blastx)=2e-40
kb8_c18962	BTB/POZ and MATH domain-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=BPM2 PE=1 SV=1 E(blastx)=7e-24
kb8_rep_c1207	Alpha-amylase OS=Pseudoalteromonas haloplanktis OX=228 GN=amy PE=1 SV=3 E(blastx)=3e-135
kb8_s64135	Sphingolipid delta(4)-desaturase OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=DES1 PE=1 SV=1 E(blastx)=2e-08
kb8_c6635	Glutamine synthetase OS=Rhizobium meliloti (strain 1021) OX=266834 GN=glnT PE=1 SV=1 E(blastx)=2e-144
kb8_s54075	Non-specific lipid-transfer protein (Fragment) OS=Gallus gallus OX=9031 GN=SCP2 PE=2 SV=1 E(blastx)=2e-10
kb8_rep_c6118	Maternal protein pumilio OS=Drosophila melanogaster OX=7227 GN=pum PE=1 SV=2 E(blastx)=2e-21
kb8_c25201	Sec14 cytosolic factor OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sec14 PE=4 SV=1 E(blastx)=9e-16
kb8_rep_c22564	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 2 OS=Arabidopsis thaliana OX=3702 GN=OTU2 PE=1 SV=1 E(blastx)=3e-74
kb8_rep_c2189	Proline/betaine transporter OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=proP PE=3 SV=2 E(blastx)=1e-22
kb8_c15586	Flowering time control protein FCA OS=Arabidopsis thaliana OX=3702 GN=FCA PE=1 SV=3 E(blastx)=4e-06
kb8_s68013	S-adenosylmethionine synthase OS=Dictyostelium discoideum OX=44689 GN=metK PE=1 SV=1 E(blastx)=1e-14
kb8_c34713	Ankyrin repeat domain-containing protein 39 OS=Mus musculus OX=10090 GN=Ankrd39 PE=1 SV=1 E(blastx)=3e-12
kb8_s71551	Dihydrolipoyl dehydrogenase OS=Thermus scotoductus (strain ATCC 700910 / SA-01) OX=743525 GN=lpd PE=1 SV=2 E(blastx)=2e-05
kb8_c44359	DNA-directed primase/polymerase protein OS=Danio rerio OX=7955 GN=primpol PE=2 SV=2 E(blastx)=4e-15
kb8_c33279	Procollagen galactosyltransferase 1 OS=Danio rerio OX=7955 GN=colgalt1 PE=3 SV=1 E(blastx)=7e-31
kb8_c49953	Glycogen synthase kinase-3 OS=Dictyostelium discoideum OX=44689 GN=gskA PE=1 SV=2 E(blastx)=1e-41
kb8_rep_c4552	Dynein assembly factor 5, axonemal OS=Mus musculus OX=10090 GN=Dnaaf5 PE=1 SV=1 E(blastx)=1e-20
kb8_s65431	Anion exchange protein 3 OS=Mus musculus OX=10090 GN=Slc4a3 PE=1 SV=2 E(blastx)=1e-19
kb8_s58765	Calreticulin OS=Caenorhabditis elegans OX=6239 GN=crt-1 PE=1 SV=1 E(blastx)=8e-32
kb8_c50098	Protein NLRC3 OS=Mus musculus OX=10090 GN=Nlrc3 PE=1 SV=2 E(blastx)=8e-19
kb8_c44693	Metabotropic glutamate receptor OS=Drosophila melanogaster OX=7227 GN=mGluR PE=1 SV=2 E(blastx)=8e-11
kb8_s55323	4,4'-diaponeurosporen-aldehyde dehydrogenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=aldH1 PE=1 SV=1 E(blastx)=2e-13
kb8_c36555	Centrosomal protein of 76 kDa OS=Mus musculus OX=10090 GN=Cep76 PE=1 SV=1 E(blastx)=5e-20
kb8_rep_c6177	Calcium-dependent protein kinase 34 OS=Arabidopsis thaliana OX=3702 GN=CPK34 PE=2 SV=1 E(blastx)=7e-10
kb8_rep_c8839	Probable beta-D-xylosidase 2 OS=Arabidopsis thaliana OX=3702 GN=BXL2 PE=2 SV=1 E(blastx)=3e-96
kb8_c14860	Nucleolar GTP-binding protein 1 OS=Caenorhabditis elegans OX=6239 GN=nog-1 PE=1 SV=1 E(blastx)=4e-13
kb8_c28885	UDP-N-acetylhexosamine pyrophosphorylase OS=Homo sapiens OX=9606 GN=UAP1 PE=1 SV=3 E(blastx)=3e-61
kb8_rep_c20307	DNA excision repair protein ERCC-1 OS=Homo sapiens OX=9606 GN=ERCC1 PE=1 SV=1 E(blastx)=8e-40
kb8_rep_c53189	Major basic nuclear protein 2 OS=Crypthecodinium cohnii OX=2866 GN=HCc2 PE=4 SV=1 E(blastx)=1e-09
kb8_rep_c1066	Pleckstrin homology domain-containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=PH1 PE=2 SV=2 E(blastx)=5e-13
kb8_c33264	Hybrid peroxiredoxin hyPrx5 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=PGdx PE=1 SV=1 E(blastx)=2e-06
kb8_c13247	Kinesin-related protein 1 OS=Dictyostelium discoideum OX=44689 GN=kif1 PE=1 SV=1 E(blastx)=3e-74
kb8_rep_c17229	Pyruvate:ferredoxin oxidoreductase OS=Moorella thermoacetica (strain ATCC 39073 / JCM 9320) OX=264732 GN=Moth_0064 PE=1 SV=1 E(blastx)=2e-173
kb8_s64474	RAP domain-containing protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RAP PE=1 SV=1 E(blastx)=2e-11
kb8_c20269	Endonuclease V OS=Mus musculus OX=10090 GN=Endov PE=1 SV=2 E(blastx)=1e-49
kb8_rep_c4660	ABC transporter FPSE_09185 OS=Fusarium pseudograminearum (strain CS3096) OX=1028729 GN=FPSE_09185 PE=3 SV=1 E(blastx)=9e-13
kb8_c30793	Inositol phosphorylceramide glucuronosyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=IPUT1 PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c8891	CUGBP Elav-like family member 5 OS=Xenopus tropicalis OX=8364 GN=celf5 PE=2 SV=1 E(blastx)=1e-06
kb8_rep_c16885	Ankyrin repeat domain-containing protein 36C OS=Homo sapiens OX=9606 GN=ANKRD36C PE=1 SV=3 E(blastx)=5e-10
kb8_s57164	Adenosine deaminase OS=Enterococcus faecalis (strain ATCC 700802 / V583) OX=226185 GN=add PE=3 SV=1 E(blastx)=5e-06
kb8_c38140	Mitogen-activated protein kinase kinase kinase ANP1 OS=Arabidopsis thaliana OX=3702 GN=ANP1 PE=1 SV=2 E(blastx)=2e-07
kb8_rep_c60557	14-3-3 protein beta/alpha-1 OS=Oncorhynchus mykiss OX=8022 PE=2 SV=1 E(blastx)=9e-69
kb8_c34290	1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic OS=Pisum sativum OX=3888 GN=SBEI PE=1 SV=1 E(blastx)=9e-23
kb8_rep_c581	Serine/threonine-protein kinase TIO OS=Arabidopsis thaliana OX=3702 GN=TIO PE=1 SV=1 E(blastx)=1e-113
kb8_c24510	Sodium/sulfate cotransporter 2 OS=Chlamydomonas reinhardtii OX=3055 GN=SLT2 PE=2 SV=1 E(blastx)=3e-24
kb8_rep_c22204	Protein CHROMATIN REMODELING 8 OS=Arabidopsis thaliana OX=3702 GN=CHR8 PE=2 SV=1 E(blastx)=6e-73
kb8_rep_c33986	Calcium-dependent protein kinase 27 OS=Oryza sativa subsp. japonica OX=39947 GN=CPK27 PE=3 SV=1 E(blastx)=3e-28
kb8_rep_c9168	Cytochrome b2, mitochondrial OS=Wickerhamomyces anomalus OX=4927 GN=CYB2 PE=1 SV=2 E(blastx)=7e-148
kb8_c5868	Choline transporter-like 1 OS=Aedes aegypti OX=7159 GN=Ctl1 PE=3 SV=1 E(blastx)=1e-07
kb8_c41238	RNA pyrophosphohydrolase OS=Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3) OX=349102 GN=rppH PE=3 SV=1 E(blastx)=1e-09
kb8_rep_c39806	Acid phosphatase type 7 OS=Mus musculus OX=10090 GN=Acp7 PE=2 SV=2 E(blastx)=8e-11
kb8_rep_c44329	cAMP-dependent protein kinase regulatory subunit OS=Mucor circinelloides f. lusitanicus OX=29924 GN=pkar PE=3 SV=1 E(blastx)=5e-12
kb8_c44234	Serine/threonine-protein kinase ATM OS=Arabidopsis thaliana OX=3702 GN=ATM PE=1 SV=1 E(blastx)=6e-08
kb8_c21911	Eukaryotic translation initiation factor 2A OS=Danio rerio OX=7955 GN=eif2a PE=2 SV=1 E(blastx)=1e-29
kb8_rep_c20605	TBC domain-containing protein kinase-like protein OS=Mus musculus OX=10090 GN=Tbck PE=1 SV=1 E(blastx)=4e-09
kb8_s54311	Ankyrin repeat domain-containing protein 46 OS=Danio rerio OX=7955 GN=ankrd46 PE=2 SV=1 E(blastx)=3e-05
kb8_rep_c10075	Protein kinase 2 OS=Dictyostelium discoideum OX=44689 GN=pkgB PE=1 SV=2 E(blastx)=1e-73
kb8_rep_c4930	3-phosphoinositide-dependent protein kinase 2 OS=Arabidopsis thaliana OX=3702 GN=PDPK2 PE=1 SV=1 E(blastx)=6e-35
kb8_s57134	Tyrocidine synthase 2 OS=Brevibacillus parabrevis OX=54914 GN=tycB PE=1 SV=1 E(blastx)=3e-09
kb8_c23219	TBC1 domain family member 13 OS=Homo sapiens OX=9606 GN=TBC1D13 PE=1 SV=3 E(blastx)=3e-25
kb8_rep_c5111	DNA-directed primase/polymerase protein OS=Homo sapiens OX=9606 GN=PRIMPOL PE=1 SV=3 E(blastx)=6e-11
kb8_c16086	Glucan endo-1,3-alpha-glucosidase agn1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=agn1 PE=1 SV=2 E(blastx)=1e-31
kb8_c20205	ABC transporter A family member 1 OS=Arabidopsis thaliana OX=3702 GN=ABCA1 PE=2 SV=2 E(blastx)=2e-34
kb8_rep_c3614	Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH7 OS=Arabidopsis thaliana OX=3702 GN=CUV PE=1 SV=1 E(blastx)=4e-177
kb8_c30988	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like OS=Homo sapiens OX=9606 GN=DUS1L PE=1 SV=1 E(blastx)=2e-27
kb8_rep_c5189	Putative ankyrin repeat protein L93 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_L93 PE=4 SV=1 E(blastx)=2e-15
kb8_c11860	DNA topoisomerase 2 OS=Plasmodium falciparum (isolate K1 / Thailand) OX=5839 GN=TOP2 PE=3 SV=1 E(blastx)=1e-73
kb8_c35445	Ubiquitin carboxyl-terminal hydrolase 18 OS=Arabidopsis thaliana OX=3702 GN=UBP18 PE=2 SV=2 E(blastx)=6e-06
kb8_c10902	Peroxisomal (S)-2-hydroxy-acid oxidase GLO3 OS=Oryza sativa subsp. japonica OX=39947 GN=GLO3 PE=2 SV=1 E(blastx)=1e-90
kb8_c45058	Pentatricopeptide repeat-containing protein At1g74900, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=OTP43 PE=2 SV=1 E(blastx)=1e-12
kb8_c32051	Protein ACTIVITY OF BC1 COMPLEX KINASE 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ABC1K1 PE=1 SV=1 E(blastx)=1e-136
kb8_c16481	Phosphoribosylaminoimidazole carboxylase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ade6 PE=3 SV=1 E(blastx)=5e-154
kb8_rep_c4164	Ubiquitin carboxyl-terminal hydrolase 19 OS=Arabidopsis thaliana OX=3702 GN=UBP19 PE=2 SV=2 E(blastx)=4e-36
kb8_s58009	DEAD-box ATP-dependent RNA helicase 30 OS=Arabidopsis thaliana OX=3702 GN=RH30 PE=1 SV=2 E(blastx)=2e-23
kb8_rep_c18718	Peroxisomal bifunctional enzyme OS=Cavia porcellus OX=10141 GN=EHHADH PE=2 SV=2 E(blastx)=5e-73
kb8_c35345	Periplasmic beta-glucosidase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=bglX PE=3 SV=2 E(blastx)=5e-37
kb8_c12678	Zinc finger CCCH domain-containing protein 45 OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0677700 PE=4 SV=1 E(blastx)=8e-07
kb8_c43749	ABC transporter C family member 3 OS=Dictyostelium discoideum OX=44689 GN=abcC3 PE=3 SV=1 E(blastx)=2e-21
kb8_rep_c2310	Calcium-dependent protein kinase 3 OS=Arabidopsis thaliana OX=3702 GN=CPK3 PE=1 SV=1 E(blastx)=1e-31
kb8_c27351	Probable ATP-binding cassette sub-family F member 3 homolog OS=Encephalitozoon cuniculi (strain GB-M1) OX=284813 GN=ECU05_1190 PE=3 SV=1 E(blastx)=1e-15
kb8_rep_c26201	Chloride channel protein D OS=Dictyostelium discoideum OX=44689 GN=clcD PE=3 SV=1 E(blastx)=1e-23
kb8_c18606	Serine carboxypeptidase-like 50 OS=Arabidopsis thaliana OX=3702 GN=SCPL50 PE=2 SV=1 E(blastx)=2e-25
kb8_rep_c7992	Protein MEI2-like 2 OS=Oryza sativa subsp. japonica OX=39947 GN=ML2 PE=2 SV=1 E(blastx)=6e-07
kb8_c44980	Dual-specificity RNA pseudouridine synthase RluA OS=Vibrio vulnificus (strain CMCP6) OX=216895 GN=rluA PE=3 SV=1 E(blastx)=3e-08
kb8_c38065	Polyketide synthase PksN OS=Bacillus subtilis (strain 168) OX=224308 GN=pksN PE=1 SV=3 E(blastx)=3e-05
kb8_c10606	E3 ubiquitin-protein ligase RNF181 OS=Xenopus tropicalis OX=8364 GN=rnf181 PE=2 SV=1 E(blastx)=1e-10
kb8_rep_c5211	Cholesterol 7-desaturase nvd OS=Danio rerio OX=7955 GN=nvd PE=1 SV=1 E(blastx)=7e-47
kb8_s54695	Tyrosine--tRNA ligase 1, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At2g33840 PE=2 SV=1 E(blastx)=6e-10
kb8_rep_c3240	Sucrose transport protein SUT5 OS=Oryza sativa subsp. indica OX=39946 GN=SUT5 PE=3 SV=1 E(blastx)=6e-26
kb8_s70548	Probable ATP-dependent helicase PF08_0048 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=PF08_0048 PE=1 SV=1 E(blastx)=2e-15
kb8_rep_c22614	RING-H2 finger protein ATL60 OS=Arabidopsis thaliana OX=3702 GN=ATL60 PE=2 SV=1 E(blastx)=1e-06
kb8_c32115	Anaphase-promoting complex subunit 2 OS=Arabidopsis thaliana OX=3702 GN=APC2 PE=1 SV=1 E(blastx)=3e-29
kb8_rep_c5591	Carbonic anhydrase OS=Klebsiella pneumoniae OX=573 GN=cah PE=3 SV=1 E(blastx)=3e-09
kb8_c45904	Pentatricopeptide repeat-containing protein At3g29290 OS=Arabidopsis thaliana OX=3702 GN=EMB2076 PE=2 SV=1 E(blastx)=2e-12
kb8_c8616	DnaJ homolog subfamily C member 27 OS=Danio rerio OX=7955 GN=dnajc27 PE=2 SV=1 E(blastx)=1e-43
kb8_c38913	Probable serine/threonine-protein kinase SIS8 OS=Arabidopsis thaliana OX=3702 GN=SIS8 PE=1 SV=1 E(blastx)=5e-20
kb8_rep_c6670	Adenylate cyclase OS=Anabaena cylindrica OX=1165 GN=cya PE=3 SV=1 E(blastx)=7e-10
kb8_rep_c51948	Glyceraldehyde-3-phosphate dehydrogenase OS=Treponema pallidum (strain Nichols) OX=243276 GN=gap PE=3 SV=1 E(blastx)=1e-171
kb8_rep_c5943	FK506-binding protein 1 OS=Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593 GN=FPR1 PE=1 SV=1 E(blastx)=3e-07
kb8_s63696	Cytochrome c oxidase subunit 3 OS=Glycine max OX=3847 GN=COX3 PE=2 SV=1 E(blastx)=2e-08
kb8_c49102	Kinesin light chain 1 OS=Rattus norvegicus OX=10116 GN=Klc1 PE=1 SV=2 E(blastx)=1e-06
kb8_c27512	TBC1 domain family member 23 OS=Xenopus laevis OX=8355 GN=tbc1d23 PE=2 SV=1 E(blastx)=6e-19
kb8_c33759	Pentatricopeptide repeat-containing protein At1g62590 OS=Arabidopsis thaliana OX=3702 GN=At1g62590 PE=2 SV=1 E(blastx)=2e-07
kb8_c9589	Putative peptidoglycan O-acetyltransferase YrhL OS=Bacillus subtilis (strain 168) OX=224308 GN=yrhL PE=3 SV=1 E(blastx)=1e-33
kb8_c24950	Isopentenyl phosphate kinase OS=Arabidopsis thaliana OX=3702 GN=IPK PE=1 SV=1 E(blastx)=2e-39
kb8_rep_c51964	Adenine/guanine permease AZG1 OS=Arabidopsis thaliana OX=3702 GN=AZG1 PE=2 SV=1 E(blastx)=1e-26
kb8_c46521	[F-actin]-monooxygenase MICAL2 OS=Mus musculus OX=10090 GN=Mical2 PE=1 SV=1 E(blastx)=2e-07
kb8_c31287	Parkin coregulated gene protein OS=Homo sapiens OX=9606 GN=PACRG PE=1 SV=2 E(blastx)=5e-09
kb8_rep_c28258	Vacuolar protein sorting-associated protein 9A OS=Oryza sativa subsp. japonica OX=39947 GN=VPS9A PE=1 SV=1 E(blastx)=3e-28
kb8_c11493	Protein phosphatase 2C OS=Leishmania chagasi OX=44271 PE=2 SV=1 E(blastx)=1e-58
kb8_s61448	NEDD8-activating enzyme E1 catalytic subunit OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=uba3 PE=1 SV=1 E(blastx)=9e-21
kb8_rep_c7933	Quinone-oxidoreductase QR2 OS=Triphysaria versicolor OX=64093 PE=1 SV=1 E(blastx)=3e-53
kb8_rep_c52220	Cold shock protein CspA OS=Rhizobium meliloti (strain 1021) OX=266834 GN=cspA PE=2 SV=1 E(blastx)=4e-12
kb8_c36981	Signal peptide, CUB and EGF-like domain-containing protein 3 OS=Homo sapiens OX=9606 GN=SCUBE3 PE=1 SV=1 E(blastx)=8e-06
kb8_rep_c6992	Calcium-dependent protein kinase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=CPK1 PE=2 SV=1 E(blastx)=1e-05
kb8_c43237	Protein mono-ADP-ribosyltransferase PARP14 OS=Mus musculus OX=10090 GN=Parp14 PE=1 SV=3 E(blastx)=3e-16
kb8_c24907	Hsp70 nucleotide exchange factor FES1 OS=Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593 GN=FES1 PE=3 SV=1 E(blastx)=4e-08
kb8_rep_c62068	Calcium/calmodulin-dependent protein kinase type 1 OS=Caenorhabditis briggsae OX=6238 GN=cmk-1 PE=3 SV=4 E(blastx)=6e-17
kb8_rep_c2244	CUGBP Elav-like family member 2 OS=Danio rerio OX=7955 GN=celf2 PE=2 SV=1 E(blastx)=2e-16
kb8_c31374	Riboflavin biosynthesis protein VVA0006 OS=Vibrio vulnificus (strain YJ016) OX=196600 GN=VVA0006 PE=1 SV=1 E(blastx)=3e-09
kb8_rep_c4841	Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Dictyostelium discoideum OX=44689 GN=slc35b2 PE=3 SV=1 E(blastx)=7e-71
kb8_rep_c30629	Deoxyribodipyrimidine photo-lyase OS=Potorous tridactylus OX=9310 GN=PHR PE=2 SV=1 E(blastx)=3e-77
